instance_id	file_id	speaker	colloq	norm	start_t	end_t	label_orig	label_collapse	NER_orig	NER_collapse	split_orig	split_redo	annotation_type
ROG-Dia-GSO-P0005_ROG-dialog-0007_0.555_1.133	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kaj zdej,	Kaj zdaj,	0.555	1.133	interactionStructuring	interactionStructuring	B-interactionStructuring	B-interactionStructuring	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0007_1.133_3.017	ROG-Dia-GSO-P0005	ROG-dialog-0007	si kupla karte za na Sardinijo?	si kupila karte za na Sardinijo?	1.133	3.017	propositionalQuestion	propositionalQuestion	B-propositionalQuestion	B-propositionalQuestion	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0008_3.017_3.287	ROG-Dia-GSO-P0005	ROG-dialog-0008	Ne,	Ne,	3.017	3.287	disconfirm	unspecifiedFunction	B-disconfirm	B-unspecifiedFunction	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0008_3.287_4.020	ROG-Dia-GSO-P0005	ROG-dialog-0008	ku ne znam.	ko ne znam.	3.287	4.02	inform	inform	B-inform	B-inform	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0008_4.020_5.403	ROG-Dia-GSO-P0005	ROG-dialog-0008	Mi uš mohla pokazat.	Mi boš mogla pokazati.	4.02	5.403	instruct	instruct	B-instruct	B-instruct	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0007_5.403_6.913	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, pa sej je čist enostavno.	Ja, pa saj je čisto enostavno.	5.403	6.913	inform	inform	B-inform	B-inform	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0007_6.913_9.567	ROG-Dia-GSO-P0005	ROG-dialog-0007	Tm greš na uno spletno str@n od Rajenera,	Tam greš na ono spletno stran od Ryanaira,	6.913	9.567	instruct	instruct	B-instruct	B-instruct	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0007_9.567_10.580	ROG-Dia-GSO-P0005	ROG-dialog-0007	puhledaš datume,	pogledaš datume,	9.567	10.58	instruct	instruct	I-instruct	I-instruct	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0007_10.580_11.300	ROG-Dia-GSO-P0005	ROG-dialog-0007	puhledaš cene	pogledaš cene	10.58	11.3	instruct	instruct	I-instruct	I-instruct	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0007_11.300_12.533	ROG-Dia-GSO-P0005	ROG-dialog-0007	in puol si zbjereš.	in pol si izbereš.	11.3	12.533	instruct	instruct	I-instruct	I-instruct	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0007_12.533_13.882	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kulk cajta ...	Koliko cajta ...	12.533	13.882	selfCorrection	unspecifiedFunction	B-selfCorrection	B-unspecifiedFunction	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0008_12.533_13.882	ROG-Dia-GSO-P0005	ROG-dialog-0008	Aja?	Aja?	12.533	13.882	question	question	B-question	B-question	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0007_13.882_16.579	ROG-Dia-GSO-P0005	ROG-dialog-0007	kulk cajta bi bla tm?	koliko cajta bi bila tam?	13.882	16.579	setQuestion	setQuestion	B-setQuestion	B-setQuestion	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0008_13.882_15.487	ROG-Dia-GSO-P0005	ROG-dialog-0008	Ne vem.	Ne vem.	13.882	15.487	inform	inform	B-inform	B-inform	Train	test	function
ROG-Dia-GSO-P0005_ROG-dialog-0008_15.487_16.579	ROG-Dia-GSO-P0005	ROG-dialog-0008	Ma ...	Ma ...	15.487	16.579	interactionStructuring	interactionStructuring	B-interactionStructuring	B-interactionStructuring	Train	test	function
