instance_id	file_id	speaker	colloq	norm	start_t	end_t	label_origA	label_collapseA	label_origC	label_collapseC	split_orig	split_redo
ROG-Dia-GSO-P0005_ROG-dialog-0007_0.555_3.017	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kaj zdej, si kupla karte za na Sardinijo?	Kaj zdaj, si kupila karte za na Sardinijo?	0.555	3.017	mixedNegative	negative	mixedNegative	negative	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_5.403_6.913	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, pa sej je čist enostavno.	Ja, pa saj je čisto enostavno.	5.403	6.913	mixedNegative	negative	mixedNegative	negative	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_6.913_12.533	ROG-Dia-GSO-P0005	ROG-dialog-0007	Tm greš na uno spletno str@n od Rajenera, puhledaš datume, puhledaš cene in puol si zbjereš.	Tam greš na ono spletno stran od Ryanaira, pogledaš datume, pogledaš cene in pol si izbereš.	6.913	12.533	neutralNegative	neutral	neutralNegative	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_12.533_16.579	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kulk cajta ... kulk cajta bi bla tm?	Koliko cajta ... koliko cajta bi bila tam?	12.533	16.579	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_16.579_18.133	ROG-Dia-GSO-P0005	ROG-dialog-0007	Vječ cajta ku si, bl poceni je.	Več cajta ko si, bolj poceni je.	16.579	18.133	predominantlyPositive	positive	predominantlyPositive	positive	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_20.669_23.353	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, ti bi rada sam, da ti drugi zrihtaju pa da ti hrješ.	Ja, ti bi rada samo, da ti drugi zrihtajo pa da ti greš.	20.669	23.353	predominantlyNegative	negative	predominantlyNegative	negative	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_26.411_32.233	ROG-Dia-GSO-P0005	ROG-dialog-0007	No, ma tm si naluoži tisto aplikacijo od Rajener in se prjav@š in puol zbjereš karto. [zvok]	No, ma tam si naloži tisto aplikacijo od Ryanair in se prijaviš in pol izbereš karto. [zvok]	26.411	32.233	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_34.973_36.904	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ne, morš met aplikacijo.	Ne, moraš imeti aplikacijo.	34.973	36.904	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_37.801_40.450	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, ker pol maš shranjene te karte v aplikaciji.	Ja, ker pol imaš shranjene te karte v aplikaciji.	37.801	40.45	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_42.701_44.807	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, puol si jih pa še natisn@š, č() če ti slučajn telefon crkne.	Ja, pol si jih pa še natisneš, č() če ti slučajno telefon crkne.	42.701	44.807	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_44.807_46.755	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja.	Ja.	44.807	46.755	predominantlyPositive	positive	predominantlyPositive	positive	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_48.013_53.776	ROG-Dia-GSO-P0005	ROG-dialog-0007	Tm zbjereš, pol se prjav@š, prjav@š tiste usjebe, ku grjejo.	Tam izbereš, pol se prijaviš, prijaviš tiste osebe, ko grejo.	48.013	53.776	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_53.776_56.595	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pa mor bit prov napisano. Morjo bit vse črke prov.	Pa mora biti prav napisano. Morajo biti vse črke prav.	53.776	56.595	mixedNegative	negative	mixedNegative	negative	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_58.838_66.083	ROG-Dia-GSO-P0005	ROG-dialog-0007	Lohku eee z doplačil@m, misl@m, da je desjet evru, da zamenjaš eee naslov eee naslovnika karte.	Lahko eee z doplačilom, mislim, da je deset evrov, da zamenjaš eee naslov eee naslovnika karte.	58.838	66.083	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_66.930_68.851	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, in pol s kartico plačaš.	Ja, in pol s kartico plačaš.	66.93	68.851	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_69.978_72.147	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kartico j@maš za plačat?	Kartico imaš za plačati?	69.978	72.147	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_72.636_73.120	ROG-Dia-GSO-P0005	ROG-dialog-0007	Bančno?	Bančno?	72.636	73.12	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_73.508_73.980	ROG-Dia-GSO-P0005	ROG-dialog-0007	A j@maš?	A imaš?	73.508	73.98	neutralNegative	neutral	neutralNegative	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_75.105_76.027	ROG-Dia-GSO-P0005	ROG-dialog-0007	A no, tistu j@maš.	A no, tisto imaš.	75.105	76.027	mixedNegative	negative	mixedNegative	negative	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_76.027_78.046	ROG-Dia-GSO-P0005	ROG-dialog-0007	No, in pol ko plačaš ...	No, in pol ko plačaš ...	76.027	78.046	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_78.046_81.743	ROG-Dia-GSO-P0005	ROG-dialog-0007	puol pa hr@š nazaj v aplikacijo in nardiš tisti ček in.	pol pa greš nazaj v aplikacijo in narediš tisti check in.	78.046	81.743	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_82.496_83.433	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ne?	Ne?	82.496	83.433	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_83.433_87.467	ROG-Dia-GSO-P0005	ROG-dialog-0007	In tm ti piše puol, ob kulki uri grješ in kdaj pristaneš.	In tam ti piše pol, ob koliki uri greš in kdaj pristaneš.	83.433	87.467			neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_83.433_88.976	ROG-Dia-GSO-P0005	ROG-dialog-0007	In tm ti piše puol, ob kulki uri grješ in kdaj pristaneš. In številko leta.	In tam ti piše pol, ob koliki uri greš in kdaj pristaneš. In številko leta.	83.433	88.976	neutralPositive	neutral			Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_87.467_88.976	ROG-Dia-GSO-P0005	ROG-dialog-0007	In številko leta.	In številko leta.	87.467	88.976			neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_88.976_90.502	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pa za ...	Pa za ...	88.976	90.502	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_92.364_92.587	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, no,	Ja, no,	92.364	92.587	predominantlyNegative	negative	predominantlyNegative	negative	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_92.587_95.011	ROG-Dia-GSO-P0005	ROG-dialog-0007	pa sej sss čm ti puvedat pa te navad@t.	pa saj sss čem ti povedati pa te navaditi.	92.587	95.011	predominantlyNegative	negative	predominantlyNegative	negative	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_95.487_97.797	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pa kaj b() ki buste pa parkirali?	Pa kaj b() kje boste pa parkirali?	95.487	97.797	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_98.887_100.809	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, avto na letališči?	Ja, avto na letališču?	98.887	100.809	neutralNegative	neutral	neutralNegative	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_102.910_105.010	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ma na, pa spet.	Ma na, pa spet.	102.91	105.01	predominantlyNegative	negative	predominantlyNegative	negative	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_105.010_106.675	ROG-Dia-GSO-P0005	ROG-dialog-0007	Pa tm rezervirejte tisto.	Pa tam rezervirajte tisto.	105.01	106.675	neutralNegative	neutral	neutralNegative	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_107.182_112.081	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, sam morš met eee tab@lco, registracijo	Ja, samo moraš imeti eee tablico, registracijo	107.182	112.081	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_112.081_116.436	ROG-Dia-GSO-P0005	ROG-dialog-0007	in pol tm daš od kdaj do kdaj, kir datum in uro.	in pol tam daš od kdaj do kdaj, kateri datum in uro.	112.081	116.436	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_117.073_120.047	ROG-Dia-GSO-P0005	ROG-dialog-0007	In pol tm p@stiš in te že senzor zazna tab@lco,	In pol tam pustiš in te že senzor zazna tablico,	117.073	120.047			neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_117.073_120.493	ROG-Dia-GSO-P0005	ROG-dialog-0007	In pol tm p@stiš in te že senzor zazna tab@lco, ja.	In pol tam pustiš in te že senzor zazna tablico, ja.	117.073	120.493	neutralPositive	neutral			Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_120.047_120.493	ROG-Dia-GSO-P0005	ROG-dialog-0007	ja.	ja.	120.047	120.493			predominantlyPositive	positive	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_120.493_121.687	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, in nč ne rab@š.	Ja, in nič ne rabiš.	120.493	121.687	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_122.951_125.123	ROG-Dia-GSO-P0005	ROG-dialog-0007	No, in ti je čist enostavno ke prid@t.	No, in ti je čisto enostavno tja priti.	122.951	125.123	neutralPositive	neutral	mixedNegative	negative	Train	train
