instance_id	file_id	speaker	colloq	norm	start_t	end_t	label_origC	label_collapseC	NER_orig	NER_collapse	split_orig	split_redo	annotation_type
ROG-Dia-GSO-P0005_ROG-dialog-0007_0.555_3.017	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kaj zdej, si kupla karte za na Sardinijo?	Kaj zdaj, si kupila karte za na Sardinijo?	0.555	3.017	mixedNegative	negative	B-mixedNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_5.403_6.913	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, pa sej je čist enostavno.	Ja, pa saj je čisto enostavno.	5.403	6.913	mixedNegative	negative	B-mixedNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_6.913_12.533	ROG-Dia-GSO-P0005	ROG-dialog-0007	Tm greš na uno spletno str@n od Rajenera, puhledaš datume, puhledaš cene in puol si zbjereš.	Tam greš na ono spletno stran od Ryanaira, pogledaš datume, pogledaš cene in pol si izbereš.	6.913	12.533	neutralNegative	neutral	B-neutralNegative	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_12.533_16.579	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kulk cajta ... kulk cajta bi bla tm?	Koliko cajta ... koliko cajta bi bila tam?	12.533	16.579	neutralPositive	neutral	B-neutralPositive	I-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_16.579_18.133	ROG-Dia-GSO-P0005	ROG-dialog-0007	Vječ cajta ku si, bl poceni je.	Več cajta ko si, bolj poceni je.	16.579	18.133	predominantlyPositive	positive	B-predominantlyPositive	B-positive	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_20.669_23.353	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, ti bi rada sam, da ti drugi zrihtaju pa da ti hrješ.	Ja, ti bi rada samo, da ti drugi zrihtajo pa da ti greš.	20.669	23.353	predominantlyNegative	negative	B-predominantlyNegative	B-negative	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_26.411_32.233	ROG-Dia-GSO-P0005	ROG-dialog-0007	No, ma tm si naluoži tisto aplikacijo od Rajener in se prjav@š in puol zbjereš karto. [zvok]	No, ma tam si naloži tisto aplikacijo od Ryanair in se prijaviš in pol izbereš karto. [zvok]	26.411	32.233	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_34.973_36.904	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ne, morš met aplikacijo.	Ne, moraš imeti aplikacijo.	34.973	36.904	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_37.801_40.450	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, ker pol maš shranjene te karte v aplikaciji.	Ja, ker pol imaš shranjene te karte v aplikaciji.	37.801	40.45	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
ROG-Dia-GSO-P0005_ROG-dialog-0007_42.701_44.807	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, puol si jih pa še natisn@š, č() če ti slučajn telefon crkne.	Ja, pol si jih pa še natisneš, č() če ti slučajno telefon crkne.	42.701	44.807	neutralPositive	neutral	B-neutralPositive	B-neutral	train	train	sentiment
