instance_id	file_id	speaker	colloq	norm	start_t	end_t	label_origA	label_collapseA	label_origC	label_collapseC	split_orig	split_redo
ROG-Dia-GSO-P0005_ROG-dialog-0007_0.555_3.017	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kaj zdej, si kupla karte za na Sardinijo?	Kaj zdaj, si kupila karte za na Sardinijo?	0.555	3.017	mixedNegative	negative	mixedNegative	negative	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0008_3.017_4.020	ROG-Dia-GSO-P0005	ROG-dialog-0008	Ne, ku ne znam.	Ne, ko ne znam.	3.017	4.02	predominantlyNegative	negative	predominantlyNegative	negative	Train	test
ROG-Dia-GSO-P0005_ROG-dialog-0008_4.020_5.403	ROG-Dia-GSO-P0005	ROG-dialog-0008	Mi uš mohla pokazat.	Mi boš mogla pokazati.	4.02	5.403	neutralPositive	neutral	neutralPositive	neutral	Train	test
ROG-Dia-GSO-P0005_ROG-dialog-0007_5.403_6.913	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, pa sej je čist enostavno.	Ja, pa saj je čisto enostavno.	5.403	6.913	mixedNegative	negative	mixedNegative	negative	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_6.913_12.533	ROG-Dia-GSO-P0005	ROG-dialog-0007	Tm greš na uno spletno str@n od Rajenera, puhledaš datume, puhledaš cene in puol si zbjereš.	Tam greš na ono spletno stran od Ryanaira, pogledaš datume, pogledaš cene in pol si izbereš.	6.913	12.533	neutralNegative	neutral	neutralNegative	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0007_12.533_16.579	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kulk cajta ... kulk cajta bi bla tm?	Koliko cajta ... koliko cajta bi bila tam?	12.533	16.579	neutralPositive	neutral	neutralPositive	neutral	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0008_12.533_13.882	ROG-Dia-GSO-P0005	ROG-dialog-0008	Aja?	Aja?	12.533	13.882	neutralNegative	neutral	neutralNegative	neutral	Train	test
ROG-Dia-GSO-P0005_ROG-dialog-0008_13.882_15.487	ROG-Dia-GSO-P0005	ROG-dialog-0008	Ne vem.	Ne vem.	13.882	15.487	predominantlyNegative	negative	predominantlyNegative	negative	Train	test
ROG-Dia-GSO-P0005_ROG-dialog-0008_15.487_16.579	ROG-Dia-GSO-P0005	ROG-dialog-0008	Ma ...	Ma ...	15.487	16.579	neutralNegative	neutral	neutralNegative	neutral	Train	test
ROG-Dia-GSO-P0005_ROG-dialog-0007_16.579_18.133	ROG-Dia-GSO-P0005	ROG-dialog-0007	Vječ cajta ku si, bl poceni je.	Več cajta ko si, bolj poceni je.	16.579	18.133	predominantlyPositive	positive	predominantlyPositive	positive	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0008_18.133_18.693	ROG-Dia-GSO-P0005	ROG-dialog-0008	Aja?	Aja?	18.133	18.693	neutralNegative	neutral	neutralNegative	neutral	Train	test
ROG-Dia-GSO-P0005_ROG-dialog-0008_18.693_20.669	ROG-Dia-GSO-P0005	ROG-dialog-0008	Nej tu zame za j@skat, ne znam.	Ni to zame za iskati, ne znam.	18.693	20.669	predominantlyNegative	negative	predominantlyNegative	negative	Train	test
ROG-Dia-GSO-P0005_ROG-dialog-0007_20.669_23.353	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, ti bi rada sam, da ti drugi zrihtaju pa da ti hrješ.	Ja, ti bi rada samo, da ti drugi zrihtajo pa da ti greš.	20.669	23.353	predominantlyNegative	negative	predominantlyNegative	negative	Train	train
ROG-Dia-GSO-P0005_ROG-dialog-0008_23.353_24.773	ROG-Dia-GSO-P0005	ROG-dialog-0008	Ja, itak, kaj pa?	Ja, itak, kaj pa?	23.353	24.773	mixedNegative	negative	mixedNegative	negative	Train	test
