instance_id	file_id	speaker	colloq	norm	start_t	end_t	label_orig	label_collapse	NER_orig	NER_collapse	split_orig	split_redo	annotation_type
ROG-Dia-GSO-P0005_ROG-dialog-0007_0.555_1.133	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kaj zdej,	Kaj zdaj,	0.555	1.133	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_1.133_3.017	ROG-Dia-GSO-P0005	ROG-dialog-0007	si kupla karte za na Sardinijo?	si kupila karte za na Sardinijo?	1.133	3.017	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_5.403_6.913	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja, pa sej je čist enostavno.	Ja, pa saj je čisto enostavno.	5.403	6.913	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_6.913_9.567	ROG-Dia-GSO-P0005	ROG-dialog-0007	Tm greš na uno spletno str@n od Rajenera,	Tam greš na ono spletno stran od Ryanaira,	6.913	9.567	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_9.567_10.580	ROG-Dia-GSO-P0005	ROG-dialog-0007	puhledaš datume,	pogledaš datume,	9.567	10.58	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_10.580_11.300	ROG-Dia-GSO-P0005	ROG-dialog-0007	puhledaš cene	pogledaš cene	10.58	11.3	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_11.300_12.533	ROG-Dia-GSO-P0005	ROG-dialog-0007	in puol si zbjereš.	in pol si izbereš.	11.3	12.533	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_12.533_13.882	ROG-Dia-GSO-P0005	ROG-dialog-0007	Kulk cajta ...	Koliko cajta ...	12.533	13.882	ownCommunicationManagement	ownCommunicationManagement	B-ownCommunicationManagement	B-ownCommunicationManagement	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_13.882_16.579	ROG-Dia-GSO-P0005	ROG-dialog-0007	kulk cajta bi bla tm?	koliko cajta bi bila tam?	13.882	16.579	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_16.579_17.400	ROG-Dia-GSO-P0005	ROG-dialog-0007	Vječ cajta ku si,	Več cajta ko si,	16.579	17.4	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_17.400_18.133	ROG-Dia-GSO-P0005	ROG-dialog-0007	bl poceni je.	bolj poceni je.	17.4	18.133	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_20.669_20.887	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ja,	Ja,	20.669	20.887	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_20.887_21.673	ROG-Dia-GSO-P0005	ROG-dialog-0007	ti bi rada sam,	ti bi rada samo,	20.887	21.673	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_21.673_22.573	ROG-Dia-GSO-P0005	ROG-dialog-0007	da ti drugi zrihtaju	da ti drugi zrihtajo	21.673	22.573	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_22.573_23.353	ROG-Dia-GSO-P0005	ROG-dialog-0007	pa da ti hrješ.	pa da ti greš.	22.573	23.353	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_26.411_26.547	ROG-Dia-GSO-P0005	ROG-dialog-0007	No,	No,	26.411	26.547	discourseStructuring	discourseStructuring	B-discourseStructuring	B-discourseStructuring	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_26.547_29.285	ROG-Dia-GSO-P0005	ROG-dialog-0007	ma tm si naluoži tisto aplikacijo od Rajener	ma tam si naloži tisto aplikacijo od Ryanair	26.547	29.285	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_29.285_31.147	ROG-Dia-GSO-P0005	ROG-dialog-0007	in se prjav@š	in se prijaviš	29.285	31.147	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_31.147_32.233	ROG-Dia-GSO-P0005	ROG-dialog-0007	in puol zbjereš karto. [zvok]	in pol izbereš karto. [zvok]	31.147	32.233	task	task	I-task	I-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_34.973_35.679	ROG-Dia-GSO-P0005	ROG-dialog-0007	Ne,	Ne,	34.973	35.679	task	task	B-task	B-task	train	train	dimension
ROG-Dia-GSO-P0005_ROG-dialog-0007_35.679_36.904	ROG-Dia-GSO-P0005	ROG-dialog-0007	morš met aplikacijo.	moraš imeti aplikacijo.	35.679	36.904	task	task	I-task	I-task	train	train	dimension
