instance_id	file_id	speaker	colloq	norm	start_t	end_t	label_orig	label_collapse	NER_orig	NER_collapse	split_orig	split_redo	annotation_type
ROG-Dia-GSO-P0007_ROG-dialog-0011_1.288_2.199	ROG-Dia-GSO-P0007	ROG-dialog-0011	Hej.	Hej.	1.288	2.199	initGreeting	unspecifiedFunction	B-initGreeting	B-unspecifiedFunction	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_3.785_5.085	ROG-Dia-GSO-P0007	ROG-dialog-0011	K@k si?	Kako si?	3.785	5.085	setQuestion	setQuestion	B-setQuestion	B-setQuestion	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_8.030_8.716	ROG-Dia-GSO-P0007	ROG-dialog-0011	Js tut.	Jaz tudi.	8.03	8.716	inform	inform	B-inform	B-inform	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_8.716_9.133	ROG-Dia-GSO-P0007	ROG-dialog-0011	Veš,	Veš,	8.716	9.133	question	question	B-question	B-question	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_9.133_10.638	ROG-Dia-GSO-P0007	ROG-dialog-0011	ka ti morm povedat.	kaj ti moram povedati.	9.133	10.638	question	question	I-question	I-question	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_11.403_12.240	ROG-Dia-GSO-P0007	ROG-dialog-0011	Aaa.	Aaa.	11.403	12.24	interactionStructuring	interactionStructuring	B-interactionStructuring	B-interactionStructuring	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_12.240_12.480	ROG-Dia-GSO-P0007	ROG-dialog-0011	Veš,	Veš,	12.24	12.48	question	question	B-question	B-question	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_12.480_14.546	ROG-Dia-GSO-P0007	ROG-dialog-0011	ka sm dans delala?	kaj sem danes delala?	12.48	14.546	question	question	I-question	I-question	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_16.797_18.691	ROG-Dia-GSO-P0007	ROG-dialog-0011	Kuhno sem žagala.	Kuhinjo sem žagala.	16.797	18.691	inform	inform	B-inform	B-inform	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_20.435_21.433	ROG-Dia-GSO-P0007	ROG-dialog-0011	Ja,	Ja,	20.435	21.433	confirm	confirm	B-confirm	B-confirm	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_21.433_23.229	ROG-Dia-GSO-P0007	ROG-dialog-0011	z vbodno žago.	z vbodno žago.	21.433	23.229	inform	inform	B-inform	B-inform	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_26.015_26.423	ROG-Dia-GSO-P0007	ROG-dialog-0011	Ja.	Ja.	26.015	26.423	confirm	confirm	B-confirm	B-confirm	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_27.739_28.340	ROG-Dia-GSO-P0007	ROG-dialog-0011	Carica,	Carica,	27.739	28.34	checkQuestion	checkQuestion	B-checkQuestion	B-checkQuestion	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_28.340_28.465	ROG-Dia-GSO-P0007	ROG-dialog-0011	ne?	ne?	28.34	28.465	checkQuestion	checkQuestion	I-checkQuestion	I-checkQuestion	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_32.994_34.784	ROG-Dia-GSO-P0007	ROG-dialog-0011	Pol kuhne sm zdej stran dala,	Pol kuhinje sem zdaj stran dala,	32.994	34.784	answer	answer	B-answer	B-answer	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_34.784_36.412	ROG-Dia-GSO-P0007	ROG-dialog-0011	odrezala,	odrezala,	34.784	36.412	answer	answer	I-answer	I-answer	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_36.412_39.779	ROG-Dia-GSO-P0007	ROG-dialog-0011	z eee vbodno žago.	z eee vbodno žago.	36.412	39.779	answer	answer	I-answer	I-answer	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_39.779_41.837	ROG-Dia-GSO-P0007	ROG-dialog-0011	Prestavla v dnevno,	Prestavila v dnevno,	39.779	41.837	inform	inform	B-inform	B-inform	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_41.837_43.815	ROG-Dia-GSO-P0007	ROG-dialog-0011	zdej pa ne znam indukcije skupi sestavt.	zdaj pa ne znam indukcije skupaj sestaviti.	41.837	43.815	inform	inform	I-inform	I-inform	Train	train	function
ROG-Dia-GSO-P0007_ROG-dialog-0011_46.000_47.633	ROG-Dia-GSO-P0007	ROG-dialog-0011	Eee mož mi je pomagal.	Eee mož mi je pomagal.	46.0	47.633	answer	answer	B-answer	B-answer	Train	train	function
